Timestamp,Username,Roll number,Which semester are you studying in?,Which stream are you in,Which school did you pass SLC from?,Which school did you pass +2 from?,What was your SLC percentage?,What was your +2 percentage?,What was your KUCAT score?,What were your GPAs in all semester?(answer using spaces),Have you cleared all your papers you have appeared in?,How seriously do you take your pre examination breaks?,What is your hours of self study per day?,How much time do you spend in googling study materials?,"Do you have a personal hobby?(Don't answer Yes, if you compromise studying for other recreational activities.) ",Do you do your assignment yourself?,How is your class attendance?,How do you do your assignments? (You may choose more than one option),What are your parents' professions?,How interactive and attentive are you during lecture?( 5 being very attentive ) ,What study materials do you rely on?,How often do you take online courses?,Where are you currently staying?,Is there any senior or junior member in your family also studying Computer Science?,Do you have any mentors other than family members who can help you in your studies?,Do you have any family problems?,Do you have any health problems?
2017/06/06 9:01:35 PM GMT+5:45,,58,4,CE,A,A,85.6,78.6,1066,3.4867,Yes,I take it seriously,more than one hour,less than one hour,occasionally i engage myself into something,Of selected subjects only,very good,Surf the internet,p,3,Books,never,Other,No,no,No,No
2017/06/06 9:11:41 PM GMT+5:45,,8,4,CE,A,A,84.6,86.4,1040,3.64,Yes,I take it seriously,more than one hour,less than one hour,occasionally i engage myself into something,Of selected subjects only,average,Text book and reference books;Surf the internet,b,3,"All A,B and C",occasionally,KU area,No,,No,No
2017/06/06 9:13:24 PM GMT+5:45,,40,4,CE,A,A,86.12,82.2,1168,3.97,Yes,I take it seriously,less than one hour,less than one hour,occasionally i engage myself into something,Of selected subjects only,very good,Text book and reference books;Surf the internet,p,3,Teachers' notes,occasionally,Other,No,no,No,No
2017/06/06 9:14:00 PM GMT+5:45,,43,3,CE,A,A,90,80,945,3.64,Yes,I take it seriously,less than one hour,less than one hour,no,Of selected subjects only,very good,Surf the internet,p,3,Notes of classmates,never,Other,No,no,No,No
2017/06/06 9:30:26 PM GMT+5:45,,18,4,CE,A,A,86,81,1113,3.8167,Yes,I take it seriously,less than one hour,less than one hour,occasionally i engage myself into something,Yes,very good,Text book and reference books;Surf the internet,p,4,Teachers' notes,never,Other,No,no,No,No
2017/06/07 6:30:41 PM GMT+5:45,,17,4,CE,B,A,88.75,79.8,997,0,No,I study occasionally,less than one hour,more than one hour,yes,Of selected subjects only,average,Surf the internet,b,3,"All A,B and C",never,KU area,No,,Yes,Yes
2017/06/07 6:36:30 PM GMT+5:45,,21,4,CE,B,A,89.88,79,1100,3.59,Yes,I take it seriously,less than one hour,less than one hour,occasionally i engage myself into something,Of selected subjects only,average,Surf the internet,p,3,Teachers' notes,never,Other,Yes,no,No,No
2017/06/07 6:39:50 PM GMT+5:45,,45,4,CE,A,A,87,77,1028,2.8,No,I study occasionally,less than one hour,less than one hour,occasionally i engage myself into something,No,average,Surf the internet;Visit the photocopy kiosk,p,3,Teachers' notes,never,KU area,No,,Yes,No
2017/06/07 6:52:08 PM GMT+5:45,,28,4,CE,A,A,86.7,74,980,3.55,Yes,I take it seriously,less than one hour,less than one hour,occasionally i engage myself into something,Of selected subjects only,very good,Text book and reference books,p,3,"All A,B and C",never,Other,No,no,No,No
2017/06/07 6:55:32 PM GMT+5:45,,16,4,CE,A,A,70,74,1006,2.7967,Yes,I take it as a vacation,less than one hour,less than one hour,yes,No,average,Text book and reference books,p,1,"All A,B and C",regularly,KU area,No,,No,No
2017/06/07 7:05:19 PM GMT+5:45,,26,4,CE,A,A,85.5,78.8,955,3.6267,Yes,I study occasionally,less than one hour,less than one hour,yes,No,very good,Text book and reference books;Surf the internet,b,3,"All A,B and C",occasionally,KU area,No,no,No,No
2017/06/07 7:07:14 PM GMT+5:45,,15,3,CE,B,A,85,79,1164,3.467,Yes,I study occasionally,less than one hour,less than one hour,occasionally i engage myself into something,Of selected subjects only,average,Text book and reference books,b,3,"All A,B and C",never,KU area,No,no,No,No
2017/06/07 7:08:50 PM GMT+5:45,,30,4,CE,B,A,88.75,72.6,975,3.467,No,I take it as a vacation,less than one hour,more than one hour,no,No,average,Text book and reference books;Surf the internet,p,2,Notes of classmates,never,KU area,No,,No,Yes
2017/06/07 7:14:57 PM GMT+5:45,,41,3,CE,B,A,87.1,80.8,972,2.9967,Yes,I take it as a vacation,less than one hour,less than one hour,yes,No,hardly 80%,Visit the photocopy kiosk,g,1,"All A,B and C",never,KU area,No,no,No,No
2017/06/07 7:25:37 PM GMT+5:45,,62,4,CE,A,A,81,71,829,2.955,No,I take it as a vacation,more than one hour,less than one hour,occasionally i engage myself into something,Of selected subjects only,very good,Text book and reference books;Surf the internet,b,3,"All A,B and C",never,Other,No,no,No,No
2017/06/07 7:28:47 PM GMT+5:45,,12,8,CE,A,A,90.88,83.4,900,3.804,Yes,I take it seriously,less than one hour,less than one hour,occasionally i engage myself into something,Of selected subjects only,very good,Surf the internet,p,5,"All A,B and C",regularly,Other,No,,No,No
2017/06/07 7:29:21 PM GMT+5:45,,52,8,CS,B,B,78.5,70.8,900,2.9,Yes,I take it seriously,less than one hour,more than one hour,yes,Yes,very good,Text book and reference books,b,5,Teachers' notes,regularly,Other,No,,No,No
2017/06/07 7:30:43 PM GMT+5:45,,24,4,CE,A,A,86,77,964,3.4167,Yes,I study occasionally,more than one hour,less than one hour,yes,Of selected subjects only,very good,Based on the text book;Text book and reference books;Visit the photocopy kiosk;Consult with seniors,b,3,"All A,B and C",never,Other,Yes,,No,No
2017/06/07 7:31:08 PM GMT+5:45,,44,4,CE,A,A,88.6,86.2,1354,3.9433,Yes,I study occasionally,less than one hour,less than one hour,yes,Yes,very good,Based on the text book,g,4,Teachers' notes,never,KU area,No,,No,No
2017/06/07 7:35:04 PM GMT+5:45,,48,4,CE,A,A,87.75,72.5,983,3.3833,Yes,I take it seriously,less than one hour,less than one hour,occasionally i engage myself into something,Yes,very good,Based on the text book;Surf the internet,h,3,Books,never,KU area,No,,Yes,No
2017/06/07 7:43:08 PM GMT+5:45,,68,8,CS,A,A,84.5,70,900,2.914,Yes,I study occasionally,more than one hour,less than one hour,no,Yes,very good,Text book and reference books;Surf the internet;Consult with seniors,g,4,Books,regularly,KU area,No,yes,No,No
2017/06/07 7:45:18 PM GMT+5:45,,22,4,CE,A,A,86.25,76,904,3.14,No,I take it seriously,more than one hour,less than one hour,yes,No,very good,Text book and reference books,b,3,"All A,B and C",never,KU area,Yes,yes,No,Yes
2017/06/07 7:52:28 PM GMT+5:45,,24,4,CE,A,A,86,77,964,3.4167,Yes,I study occasionally,more than one hour,less than one hour,yes,Of selected subjects only,very good,Based on the text book;Text book and reference books;Surf the internet;Visit the photocopy kiosk;Consult with seniors,p,3,"All A,B and C",never,Other,Yes,,No,No
2017/06/07 8:04:59 PM GMT+5:45,,56,4,CE,A,A,81,70,800,2.833,Yes,I take it seriously,less than one hour,less than one hour,yes,Of selected subjects only,very good,Text book and reference books;Surf the internet,p,2,Teachers' notes,never,KU area,No,no,No,No
2017/06/07 8:22:10 PM GMT+5:45,,11466,8,CS,B,A,76.56,65.67,800,2.653,No,I take it as a vacation,more than one hour,less than one hour,yes,Of selected subjects only,hardly 80%,Text book and reference books,b,4,"All A,B and C",never,KU area,No,no,No,No
2017/06/07 8:24:15 PM GMT+5:45,,31,8,CS,B,A,78.88,0,900,2.64,Yes,I take it seriously,more than one hour,more than one hour,occasionally i engage myself into something,Yes,average,Surf the internet,b,5,"All A,B and C",occasionally,KU area,No,yes,Yes,No
2017/06/07 8:26:00 PM GMT+5:45,,5,4,CE,A,A,84.75,76,1024,3.05,No,I take it as a vacation,less than one hour,less than one hour,yes,No,very good,Visit the photocopy kiosk,g,1,Notes of classmates,never,Other,Yes,no,No,No
2017/06/07 8:30:13 PM GMT+5:45,,9,4,CE,A,A,83,75%,900,2.6,Yes,I study occasionally,less than one hour,more than one hour,occasionally i engage myself into something,Of selected subjects only,average,Surf the internet,p,3,"All A,B and C",regularly,Other,No,no,No,No
2017/06/07 8:32:37 PM GMT+5:45,,49,2,CE,A,A,90,83,1100,3.8,Yes,I study occasionally,more than one hour,less than one hour,occasionally i engage myself into something,Yes,very good,Text book and reference books,p,2,Books,never,KU area,Yes,no,No,No
2017/06/07 8:34:33 PM GMT+5:45,,2,4,CE,B,A,87.7,83.3,1026,3.35,No,I study occasionally,less than one hour,more than one hour,occasionally i engage myself into something,Yes,very good,Surf the internet,h,3,"All A,B and C",never,Other,No,NO,Yes,No
